state.x;czname;num_grants;cohort;age;male;female;expenditure_school;expenditures;test_score;income_pc;income_growth;universities_pc;graduation_rate;teacher_student_ratio;migration_inflow;migration_born;social_capital;china_imports;racial_segregation;gini;tax_rate;violence;children_onlyparent;divorce_share;manufacture_employment
Minnesota;Thief River Falls;0,000738543;1960,255988;43,70508982;;;6,9817222;3712,601;9,515816;32094,95;0,0143058;0,0713318;-0,0905839;15,592587;0,010093445;0,016331;2,3380491;0,2869665;0,066745;0,33585;0,0218399;0,0004637;0,1643125;0,076773;0,174247
Minnesota;Willmar;0,00044713;1952,905812;50,90881764;;;7,8626316;3638,411;5,464122;35795,2;0,0072836;0,0234208;0,0463105;16,501911;0,009555707;0,0246297;2,6264035;2,415233;0,1809027;0,31292;0,0175592;0,0009017;0,1479494;0,0735346;0,1575847
Minnesota;Worthington;0,000283334;1952,966834;50,82613065;;;6,8480716;3025,409;8,615917;34678,46;0,0044709;;;15,891405;0,004186316;0,0431548;2,8129194;0,3217441;0,1929318;0,27073;0,0202009;0,0013734;0,1321642;0,0588858;0,1932738
Mississippi;Brookhaven;5,5051E-05;1959,611688;44,37792208;;;4,3379852;1806,206;-8,088287;27070,6;0,0122397;;;18,265685;0,015746166;0,005985;-0,01731992;0,6032021;0,0979419;0,56852;0,017662;0,0011417;0,2404101;0,0880605;0,1429289
Mississippi;Clarksdale;0,000188487;1954,100104;49,79770594;;;4,2944768;1928,174;-17,67537;25221,86;-0,0123354;0,0141132;0,2104029;18,490688;0,013456965;0,0109836;-0,76081555;1,789186;0,1406819;0,51977;0,0155589;0,0013408;0,3565924;0,0832921;0,1750484
Mississippi;Columbus;0,000179317;1955,21692;48,7527115;;;5,1127221;2064,528;-13,6432;29114,52;-0,0076218;0,0105171;0,0546391;19,294552;0,012967618;0,0102765;-0,96563707;1,606457;0,1335201;0,5358;0,0115733;0,0019352;0,332285;0,0846792;0,2483541
Mississippi;Corinth;9,85779E-05;1953,793814;50,10721649;;;4,3293422;2221,806;-1,450451;28904,13;-0,0149596;0,0077215;-0,1590347;16,744292;0,010841029;0,0077495;-0,76573069;7,027881;0,1275759;0,42598;0,0128751;0,0010463;0,1953044;0,1132088;0,335609
Mississippi;Greenville;0,000228892;1954,758842;49,04608789;;;4,3444093;1800,082;-20,08202;23168,96;-0,0127706;0,0136209;-0,0138093;18,695393;0,007409779;0,0065426;-1,0512486;0,8530554;0,2184724;0,52541;0,0173896;0,002227;0,4336813;0,0830527;0,187699
Mississippi;Greenwood;0,000109811;1956,568807;47,31766055;;;4,4806049;2172,377;-17,14452;25756,36;-0,0136064;0,011881;0,030302;18,452564;0,008364224;0,0089489;-0,76446792;1,388617;0,2232873;0,53933;0,0162208;0,0016277;0,3807887;0,0867656;0,2276564
Mississippi;Gulfport;0,000167964;1952,801199;50,995005;0,000323851;;4,6269806;2072,12;-3,591715;31028,05;-0,0042137;0,0043604;-0,0326174;18,443887;0,020443714;0,025858;-1,6300002;0,4013364;0,1811449;0,46469;0,0218591;0,0017354;0,2436816;0,1206366;0,1327423
